cluster_name,cluster_context,cluster_server,record_type,name,namespace,detail_1,detail_2,detail_3,detail_4,detail_5,detail_6,detail_7
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,catalogsource,redhat-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/redhat-operator-index:v4.18,priority=0,state=READY,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,catalogsource,certified-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/certified-operator-index:v4.18,priority=0,state=READY,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,catalogsource,certified-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/certified-operator-index:v4.18,priority=0,state=READY,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,catalogsource,community-operators,openshift-marketplace,publisher=Red Hat,disabled=true,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,catalogsource,community-operators,openshift-marketplace,publisher=Red Hat,disabled=true,,,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,subscription,cert-manager-operator,cert-manager-operator,channel=stable-v1,source=redhat-operators,installplan-approval=Automatic,currentCSV=cert-manager-operator.v1.14.5,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,subscription,cert-manager-operator,cert-manager-operator,channel=stable-v1,source=redhat-operators,installplan-approval=Automatic,currentCSV=cert-manager-operator.v1.14.5,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,subscription,advanced-cluster-management,open-cluster-management,channel=release-2.11,source=redhat-operators,installplan-approval=Manual,currentCSV=advanced-cluster-management.v2.11.0,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,subscription,advanced-cluster-management,open-cluster-management,channel=release-2.11,source=redhat-operators,installplan-approval=Manual,currentCSV=advanced-cluster-management.v2.11.0,,,
ocp-prod-west,admin/api-ocp-prod-west:6443,https://api.ocp-prod-west.example.com:6443,csv,cert-manager-operator.v1.14.5,cert-manager-operator,phase=Succeeded,version=1.14.5,,,,,
ocp-prod-central,admin/api-ocp-prod-central:6443,https://api.ocp-prod-central.example.com:6443,csv,cert-manager-operator.v1.14.5,cert-manager-operator,phase=Succeeded,version=1.14.5,,,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,catalogsource,redhat-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/redhat-operator-index:v4.18,priority=0,state=READY,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,catalogsource,redhat-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/redhat-operator-index:v4.18,priority=0,state=READY,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,subscription,cert-manager-operator,cert-manager-operator,channel=stable-v1,source=redhat-operators,installplan-approval=Automatic,currentCSV=cert-manager-operator.v1.14.5,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,subscription,cert-manager-operator,cert-manager-operator,channel=stable-v1,source=redhat-operators,installplan-approval=Automatic,currentCSV=cert-manager-operator.v1.14.5,,,
ocp-stage-west,admin/api-ocp-stage-west:6443,https://api.ocp-stage-west.example.com:6443,csv,cert-manager-operator.v1.14.5,cert-manager-operator,phase=Succeeded,version=1.14.5,,,,,
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,csv,cert-manager-operator.v1.14.5,cert-manager-operator,phase=Succeeded,version=1.14.5,,,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,catalogsource,redhat-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/redhat-operator-index:v4.18,priority=0,state=READY,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,catalogsource,redhat-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/redhat-operator-index:v4.18,priority=0,state=READY,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,catalogsource,community-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/community-operator-index:latest,priority=0,state=READY,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,catalogsource,community-operators,openshift-marketplace,publisher=Red Hat,image=registry.redhat.io/redhat/community-operator-index:latest,priority=0,state=READY,,,
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,subscription,grafana-operator,grafana-operator,channel=v5,source=community-operators,installplan-approval=Automatic,currentCSV=grafana-operator.v5.11.0,,,
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,subscription,grafana-operator,grafana-operator,channel=v5,source=community-operators,installplan-approval=Automatic,currentCSV=grafana-operator.v5.11.0,,,
