cluster_name,cluster_context,cluster_server,namespace,is_system_namespace,has_lr_default_request,has_lr_default_limit,has_lr_max,lr_default_request,lr_default_limit,lr_max,has_quota_request,has_quota_limit,quota_request_hard,quota_limit_hard,emptydir_pods_total,emptydir_pods_without_sizelimit
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,billing-app,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-stage-eu,admin/api-ocp-stage-eu:6443,https://api.ocp-stage-eu.example.com:6443,analytics,false,true,true,true,256Mi,1Gi,4Gi,true,true,10Gi,40Gi,5,0
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,default,true,false,false,false,,,,false,false,,,8,8
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,sandbox-apps,false,false,false,false,,,,false,false,,,12,9
ocp-dev,admin/api-ocp-dev:6443,https://api.ocp-dev.example.com:6443,team-experiments,false,true,false,false,128Mi,,,false,false,,,6,5
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,default,true,false,false,false,,,,false,false,,,8,8
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,sandbox-apps,false,false,false,false,,,,false,false,,,12,9
ocp-dev-west,admin/api-ocp-dev-west:6443,https://api.ocp-dev-west.example.com:6443,team-experiments,false,true,false,false,128Mi,,,false,false,,,6,5
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,openshift-monitoring,true,false,false,false,,,,false,false,,,0,0
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,kube-system,true,false,false,false,,,,false,false,,,0,0
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,default,true,false,false,false,,,,false,false,,,8,8
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,sandbox-apps,false,false,false,false,,,,false,false,,,12,9
ocp-sandbox,admin/api-ocp-sandbox:6443,https://api.ocp-sandbox.example.com:6443,team-experiments,false,true,false,false,128Mi,,,false,false,,,6,5
